diffusion_output_rank	n	diffusion_output_heat
0	116983	1.0
1	116224	0.9980039946719957
10	118812	0.0
11	118813	0.0
12	124961	0.0
13	127018	0.0
14	124975	0.0
15	124976	0.0
16	120892	0.0
17	124989	0.0
18	112703	0.0
19	122945	0.0
2	122961	0.0019960053280042643
20	124995	0.0
21	114757	0.0
22	124997	0.0
23	118856	0.0
24	122953	0.0
25	112714	0.0
26	114769	0.0
27	114770	0.0
28	114771	0.0
29	112724	0.0
3	129025	0.0
30	127064	0.0
31	122970	0.0
32	114780	0.0
33	114781	0.0
34	127069	0.0
35	114783	0.0
36	116833	0.0
37	118881	0.0
38	116835	0.0
39	114788	0.0
4	124930	0.0
40	114789	0.0
41	114790	0.0
42	114791	0.0
43	116840	0.0
44	116841	0.0
45	116842	0.0
46	116843	0.0
47	116844	0.0
48	112744	0.0
49	114792	0.0
5	118788	0.0
50	114793	0.0
51	114794	0.0
52	114795	0.0
53	114796	0.0
54	114798	0.0
55	114799	0.0
56	114800	0.0
57	114801	0.0
58	112755	0.0
59	114803	0.0
6	124936	0.0
60	114804	0.0
61	114805	0.0
62	125050	0.0
63	114815	0.0
64	112770	0.0
65	114818	0.0
66	125058	0.0
67	114821	0.0
68	123016	0.0
69	114826	0.0
7	124944	0.0
70	114827	0.0
71	118924	0.0
72	114836	0.0
73	118932	0.0
74	127124	0.0
75	123036	0.0
76	123041	0.0
77	112802	0.0
78	121006	0.0
79	112817	0.0
8	127002	0.0
80	125113	0.0
81	125115	0.0
82	114876	0.0
83	114879	0.0
84	114880	0.0
85	114881	0.0
86	116931	0.0
87	114884	0.0
88	114885	0.0
89	118980	0.0
9	127003	0.0
90	120935	0.0
91	116937	0.0
92	116938	0.0
93	118987	0.0
94	114897	0.0
95	114898	0.0
96	114899	0.0
97	114900	0.0
98	114902	0.0
99	114904	0.0
