#rank	DIAMOnD_node	p_hyper
1	112170	3.847857769319781e-09
2	114974	1.9310705005481308e-08
3	114973	1.4225147109931128e-08
4	113841	1.4204636504487498e-09
5	113222	2.327884927652245e-10
6	112168	2.289722032987709e-11
7	113264	1.1989552135727125e-09
8	114200	1.0455767148097787e-10
9	112169	1.1882710189424528e-10
10	111851	8.51760588313665e-12
11	111464	1.3631145458417281e-11
12	111849	4.212245246608171e-12
13	116691	1.3033403162285974e-11
14	116097	2.217127933498693e-11
15	111850	2.7063824644943213e-13
16	112924	8.572173477672817e-12
17	115761	2.7608247057689674e-12
18	107777	1.260462720071871e-12
19	108347	4.2875144309215545e-12
20	107153	4.743781996447185e-12
21	113843	6.931335527003173e-12
22	109414	2.568683706840417e-12
23	114375	5.847670780591391e-13
24	108405	4.4044734005356995e-13
25	112488	4.171731620470888e-13
26	114368	7.511824135667508e-13
27	112481	8.018323846296022e-14
28	112600	1.4784112496781023e-13
29	112550	1.0947707814071018e-13
30	109928	4.0450394418408314e-14
31	110857	4.532378183128587e-15
32	113177	9.343409039774225e-14
33	108414	1.2550653869169441e-14
34	110263	2.6238258045550714e-14
35	111902	1.707294316666345e-14
36	106957	1.8599508166519537e-15
37	108636	3.9040840573865697e-16
38	107479	3.4960271738663683e-17
39	110358	5.305669160698053e-15
40	112483	1.0778140026277532e-14
41	112479	2.2907240634378905e-15
42	113894	2.521639331661828e-16
43	117505	3.689064484359382e-16
44	112489	7.731355557822165e-17
45	113836	3.956861453151792e-18
46	121559	1.7144629855730681e-18
47	110737	3.6782317066474934e-19
48	112638	6.38745761254097e-20
49	112485	1.5097858795792012e-20
50	120490	3.955075789075125e-21
51	107077	9.11753785250207e-22
52	113779	3.0078305704857656e-22
53	128219	1.4913727472467312e-23
54	112487	4.2068323605431225e-24
55	119022	1.080806481702569e-25
56	114691	8.143333327979402e-27
57	112482	1.0615549611844622e-26
58	120562	3.944113974869276e-28
59	125723	3.4977952951865653e-28
60	108602	4.575404968155589e-29
61	112486	2.1997758637840326e-29
62	111909	5.225905943112513e-29
63	109867	9.724548341487139e-31
64	122430	1.8046561305992154e-29
65	125352	2.2121806429902204e-29
66	108389	1.53665183620094e-27
67	114692	7.185460164899023e-28
68	112726	1.051813330364937e-28
69	106601	1.7424606204989888e-28
70	112545	1.1954694482174772e-26
71	119363	5.827898096880557e-26
72	108894	7.259888593685503e-26
73	110847	6.549307960944903e-26
74	111114	6.251510656159528e-26
75	106862	4.773208221503375e-26
76	122134	2.8051805419556147e-25
77	110856	2.961182650187955e-26
78	110853	1.915738780521058e-27
79	112546	3.7397030409641705e-27
80	118883	9.652701181143472e-27
81	114093	9.898889053926991e-27
82	112770	1.72577572152024e-27
83	112790	7.965860031757276e-28
84	110854	5.0140736591832016e-27
85	113246	2.2716273998979786e-28
86	111115	6.965692392419649e-30
87	108895	1.719042259904128e-28
88	113758	4.606413307381725e-28
89	124197	9.785694846964091e-28
90	115942	3.919657014067647e-29
91	121835	2.4368962869115033e-28
92	113604	1.1649540641338755e-29
93	112945	6.256396944020754e-29
94	121549	2.1213112735105252e-30
95	111117	2.0903421882007515e-30
96	113078	3.115128932986878e-30
97	109435	4.2117450898535614e-31
98	112943	1.8953268694013267e-31
99	124635	4.140880195164535e-31
100	120775	9.975028324786224e-32
