diffusion_output_rank	n	diffusion_output_heat
0	135780	0.9901319891886812
1	135808	0.9803496034371203
10	107314	0.8788418219563883
11	109790	0.8783225295505207
12	107925	0.8700967048722239
13	109133	0.8529909361361652
14	114727	0.844538107105937
15	111440	0.8364504936172914
16	107944	0.8362986419634505
17	107678	0.8281792120031789
18	114941	0.8198620038579497
19	110313	0.8196568176842716
2	114813	0.970589177656239
20	129763	0.8195766192464203
21	114777	0.8117550127502772
22	106635	0.808479689056673
23	113198	0.7955875698513204
24	108448	0.780018066777506
25	112251	0.7578005474787955
26	110144	0.7576371638524687
27	119316	0.7574242248132691
28	115296	0.752963461348597
29	111439	0.734762810574293
3	123247	0.9235763793225962
30	106905	0.7346991776235076
31	108447	0.7186227499877995
32	111091	0.6793246245909913
33	107022	0.6787274577948647
34	107960	0.6718991054593283
35	109335	0.6652884301958709
36	112954	0.6588512432795719
37	113331	0.6543503979869055
38	114380	0.6532767297774126
39	115373	0.6210049735586054
4	110641	0.91972591263928
40	116224	0.6052425287768083
41	116783	0.5772655533702001
42	114012	0.5440760576801239
43	109134	0.5296979855010089
44	111461	0.4736189873296259
45	109137	0.46743970289179476
46	135752	0.44913571735811675
47	135801	0.4361236934825883
48	112531	0.43155461372416626
49	106958	0.4295469985595795
5	112405	0.9106900324607871
50	112598	0.4237897751640352
51	110141	0.38196938340145775
52	135889	0.3652512087204484
53	111463	0.3528646449394415
54	107480	0.34737034248686816
55	108016	0.32910896605650836
56	106835	0.291971152099684
57	120866	0.2875496672547321
58	119649	0.2729085493260272
59	110852	0.25487330607090486
6	117672	0.9104454664591096
60	107297	0.23856034515028365
61	119922	0.22962052261433658
62	112876	0.20396109689121164
63	111724	0.18329254595943192
64	122787	0.07016575326786299
65	112979	0.05131174024833132
66	111659	0.04619193212418203
67	112170	0.03903263575968182
68	116983	0.03721733400988929
69	112169	0.02947403547609012
7	109663	0.9052858251235845
70	112530	0.02728244240826647
71	112168	0.026095280481650975
72	116097	0.025233450852612763
73	114200	0.024003433607527946
74	106957	0.023370820717528943
75	114973	0.02293718886921208
76	114974	0.022004261807438065
77	111219	0.021812043901187194
78	127156	0.021082672462053927
79	113841	0.020763995353605583
8	109288	0.8874262461722205
80	119275	0.02065886330502952
81	112255	0.020503509682493037
82	124217	0.020494254799733887
83	109282	0.02048773941167118
84	108772	0.0203581081521939
85	127114	0.01963340566887668
86	107483	0.019447515039820538
87	113222	0.018916081324096626
88	107479	0.018575071215959787
89	121817	0.018394681922960173
9	110143	0.8868222962517094
90	107291	0.018301690091817684
91	107481	0.01791991442123587
92	110272	0.01786797387487152
93	116691	0.017401261323623032
94	109181	0.017250724724024696
95	112258	0.01716944507559743
96	112488	0.016161088234627644
97	108341	0.01604237688041852
98	107603	0.015719979520824063
99	118984	0.01563217552364845
