#rank	DIAble_node	p_hyper	universe_len
1	112170	4.408351695250448e-09	19382
2	114974	2.3914278602629274e-08	19383
3	114973	1.7933179117579075e-08	19385
4	113841	1.7608145397924912e-09	19389
5	113222	2.770422029189541e-10	19396
6	112168	2.8931730794959424e-11	19398
7	113264	1.4515748197398159e-09	19399
8	114200	1.2921363574847308e-10	19401
9	112169	1.4090080668034048e-10	19406
10	111851	1.0107589342682323e-11	19407
11	111464	1.8114305916456536e-11	19407
12	111849	5.3959594902228836e-12	19410
13	116691	1.6334011232126576e-11	19414
14	116097	2.6743374467309686e-11	19414
15	111850	3.205767604257248e-13	19414
16	112924	1.0345359380805573e-11	19414
17	115761	3.4531750663665047e-12	19420
18	107777	1.812699321569502e-12	19420
19	113843	6.8041519594193974e-12	19427
20	108347	9.26295697981505e-12	19430
21	109414	2.888938380435421e-12	19450
22	114375	6.583484844756378e-13	19452
23	108405	4.79678685593709e-13	19453
24	112488	4.58232798371615e-13	19453
25	114368	8.546485280012391e-13	19453
26	112481	9.306000756890962e-14	19455
27	112600	1.609974410028243e-13	19462
28	112550	1.258796841084349e-13	19463
29	109928	5.407197259890524e-13	19465
30	110857	8.089981188160426e-14	19474
31	107153	7.774476465225041e-14	19508
32	113177	1.3129093571250165e-13	19508
33	108414	1.5197572769088866e-14	19534
34	110263	3.460468401315059e-14	19537
35	111902	2.266433206049221e-14	19543
36	106957	2.2368738994547856e-15	19546
37	108636	5.059834236046837e-16	19548
38	107479	4.314028220338692e-17	19549
39	110358	7.332545517916842e-15	19549
40	112483	1.4056610796259943e-14	19550
41	112479	2.9731260715490425e-15	19557
42	113894	3.201705195404073e-16	19558
43	117505	4.460966170437023e-16	19558
44	112489	1.0058792267596053e-16	19558
45	113836	4.825493417316894e-18	19566
46	121559	2.168734144172931e-18	19566
47	110737	4.712377997954741e-19	19566
48	112638	7.897903896858151e-20	19566
49	112485	2.077813864847876e-20	19566
50	120490	5.263669563201853e-21	19566
51	107077	1.1715515543606118e-21	19566
52	113779	3.805532823679767e-22	19570
53	128219	1.958808716938499e-23	19570
54	112487	5.6617598168729734e-24	19570
55	119022	1.370335140413466e-25	19570
56	114691	1.085644276626988e-26	19570
57	112482	1.5732599303640714e-26	19570
58	120562	5.380578788647338e-28	19572
59	125723	5.180510599911122e-28	19572
60	108602	5.85505075257329e-29	19575
61	112486	3.323391118455358e-29	19575
62	111909	7.852468209296034e-29	19578
63	109867	1.2725218580928815e-30	19578
64	122430	2.417804413836657e-29	19578
65	125352	2.9282605643051333e-29	19578
66	108389	2.175370263200542e-27	19579
67	114692	9.492206620469821e-28	19579
68	112726	1.4235691139386288e-28	19579
69	106601	2.525968973415669e-28	19579
70	112545	1.556077289680796e-26	19581
71	119363	7.39805344409989e-26	19582
72	108894	9.988293289016174e-26	19582
73	110847	8.999621345568538e-26	19583
74	111114	9.168429458250719e-26	19583
75	106862	8.032011849636663e-26	19590
76	122134	3.5587500313677212e-25	19594
77	110856	4.0565976976476295e-26	19594
78	110853	2.572083137890597e-27	19594
79	112546	4.749465443746563e-27	19594
80	118883	1.5238848374826996e-26	19594
81	114093	1.255637472007732e-26	19595
82	112770	2.314271137313699e-27	19595
83	112790	1.1019221198830236e-27	19596
84	110854	6.929317558946225e-27	19596
85	111115	3.0617741981802756e-28	19596
86	113246	1.0656529807045995e-29	19596
87	108895	2.3764549351510683e-28	19597
88	113758	6.231559128870812e-28	19597
89	124197	1.3233931392720917e-27	19597
90	115942	5.250563056283949e-29	19597
91	121835	3.262257723913271e-28	19597
92	113604	1.5611392987815858e-29	19597
93	112945	9.394929974249262e-29	19597
94	121549	2.7757118796274044e-30	19599
95	111117	2.8566857136985218e-30	19599
96	113078	4.256559359702999e-30	19599
97	109435	5.945806044247159e-31	19599
98	112943	2.7332782628789037e-31	19599
99	124635	5.845813015587714e-31	19599
100	120775	1.3774758348169717e-31	19600
